t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
8.600000000000000699e-02,-5.938751579630561356e-02,2.027449057295581003e+00,-1.401799411621188263e+00,-6.186012963046196855e-01,2.541534901467429330e-01,1.569106411849565452e+00,-9.473107304849428534e-01,-9.376528622306222749e-01,-1.551351734708463326e+00,2.200985317903326521e+00,3.141592064557891639e+00,6.336680588112195145e-02,-4.634950368988934422e+00,-2.240773312236973425e+01,-1.169510626384243324e+01,-4.802818058204531226e+00,-6.268554474005155752e-01,5.665279448659308117e-03
8.799999999999999489e-02,-6.126476152251985469e-02,2.025599424992753583e+00,-1.404901251620521929e+00,-6.142054119766588993e-01,2.604366742750285346e-01,1.569223537645668909e+00,-9.605021862043949810e-01,-9.534233964615758117e-01,-1.552206724787784431e+00,2.203912458140104391e+00,3.141592064762006586e+00,6.964625106562463697e-02,-4.810154954907587488e+00,-2.216130484744465790e+01,-1.160359886882029201e+01,-4.752418985784511385e+00,-6.550521272395142258e-01,5.594027785013330062e-03
8.999999999999999667e-02,-6.316313287444406954e-02,2.023716168512792013e+00,-1.408004012438321517e+00,-6.098010396189192939e-01,2.667198584044643273e-01,1.569353007820299517e+00,-9.758465680286448896e-01,-9.681290907621280528e-01,-1.553357363868076435e+00,2.205553905686700400e+00,3.141592064740593937e+00,7.605333575993154793e-02,-4.457453628206207163e+00,-2.194770719083173560e+01,-1.148619446983338577e+01,-4.693689726774697313e+00,-5.922970109036769237e-01,5.546049146956533692e-03
9.199999999999999845e-02,-6.508966191347799468e-02,2.021802025913651768e+00,-1.411108750349302055e+00,-6.053916512296075858e-01,2.730030425342159783e-01,1.569495101237303514e+00,-9.912876516282169703e-01,-9.822371524976178936e-01,-1.554445735629624403e+00,2.206602531223609276e+00,3.141592064657285466e+00,8.257019338962076627e-02,-3.857220405893224235e+00,-2.169067132603296599e+01,-1.133037068791191082e+01,-4.619736581000689846e+00,-4.876493350545005323e-01,5.496850434056925125e-03
9.400000000000000022e-02,-6.704902535352806614e-02,2.019859224803217224e+00,-1.414216132935400161e+00,-6.009799653648808526e-01,2.792862266636586543e-01,1.569650076520781035e+00,-1.005218816253744096e+00,-9.960585944377234879e-01,-1.555174546905124133e+00,2.207553629704464448e+00,3.141592064634534776e+00,8.917938271121760019e-02,-3.248661051615719497e+00,-2.134608078126123587e+01,-1.113657442072168102e+01,-4.529448022202591240e+00,-3.828267950239577777e-01,5.429588973798251186e-03
9.600000000000000200e-02,-6.903898354290419204e-02,2.017888400079296485e+00,-1.417325605815046519e+00,-5.965663356568881026e-01,2.855694107928893888e-01,1.569818132016377099e+00,-1.017398449971800289e+00,-1.009413099065775032e+00,-1.555447325566667871e+00,2.208273479014017937e+00,3.141592064653355276e+00,9.586503567778044410e-02,-2.739123645959017139e+00,-2.096923883971960834e+01,-1.094405333059936503e+01,-4.439085723807496109e+00,-2.960204092222195049e-01,5.351253148578197748e-03
9.800000000000000377e-02,-7.105600541537666903e-02,2.015889926494981221e+00,-1.420436377953736118e+00,-5.921507083095336466e-01,2.918525949221318361e-01,1.569999452642342641e+00,-1.027856936408157784e+00,-1.022035544265124773e+00,-1.555215373925568301e+00,2.208511335256358343e+00,3.141592064669875839e+00,1.026116094374797533e-01,-2.411016946286124618e+00,-2.062942896943362214e+01,-1.079637016364703683e+01,-4.366882427046023807e+00,-2.409841514785710792e-01,5.272542414759361258e-03
1.000000000000000056e-01,-7.309659518560994440e-02,2.013864883203186462e+00,-1.423547505838454574e+00,-5.877336799715415783e-01,2.981357790514607697e-01,1.570194183013654987e+00,-1.036937809082078665e+00,-1.033792981356888019e+00,-1.554621105694183880e+00,2.208027654284942187e+00,3.141592064669453066e+00,1.094041410697049604e-01,-2.341458013706632091e+00,-2.030974208001062564e+01,-1.068211826289794253e+01,-4.307186672318296772e+00,-2.307661580280277736e-01,5.190226017974496932e-03
1.020000000000000073e-01,-7.515728835091961546e-02,2.011814973929830774e+00,-1.426657910757459957e+00,-5.833164240241387466e-01,3.044189631808184027e-01,1.570402432009429861e+00,-1.045262263377096934e+00,-1.044669656411084002e+00,-1.553976388092607408e+00,2.206592822479646276e+00,3.141592064663364159e+00,1.162281818637710962e-01,-2.602871899920471854e+00,-1.991684438172288196e+01,-1.054115103165896450e+01,-4.233169500471958280e+00,-2.777887172724342046e-01,5.088721648382885619e-03
1.040000000000000091e-01,-7.723515111599926763e-02,2.009741933859075402e+00,-1.429766776082969759e+00,-5.789003263228710283e-01,3.107021473101559406e-01,1.570624295154617656e+00,-1.053553892853144269e+00,-1.054623200472700084e+00,-1.553543604401218303e+00,2.204127035014837421e+00,3.141592064661244521e+00,1.230665332823061286e-01,-3.155041407547572785e+00,-1.938638950847767006e+01,-1.032922764215462408e+01,-4.125719512406084810e+00,-3.753476714616494903e-01,4.959353612973286390e-03
1.059999999999999970e-01,-7.932939457903209757e-02,2.007647537934376558e+00,-1.432874365558309604e+00,-5.744875522829195891e-01,3.169853314394764365e-01,1.570859818906408911e+00,-1.062912025664525473e+00,-1.063487012755090166e+00,-1.553360957397996067e+00,2.201155796134855347e+00,3.141592064662441786e+00,1.298907882580108419e-01,-3.502223972035355182e+00,-1.878214981303485942e+01,-1.007336249927541871e+01,-3.999951921817628264e+00,-4.393675219428083145e-01,4.823150156419868384e-03
1.079999999999999988e-01,-8.143986261927575743e-02,2.005533586064945251e+00,-1.435981214990132537e+00,-5.700804135674435447e-01,3.232685155687964329e-01,1.571109034951214012e+00,-1.074462921808843285e+00,-1.071065818782815260e+00,-1.553408316573094750e+00,2.198335364795867886e+00,3.141592064663761175e+00,1.366697704589765749e-01,-3.061997437753412932e+00,-1.819786778411606321e+01,-9.817597771801512607e+00,-3.879071276414310265e+00,-3.710221563903109976e-01,4.707489216665056153e-03
1.100000000000000006e-01,-8.356910735651694455e-02,2.003402327206409872e+00,-1.439087818146083775e+00,-5.656796829249046699e-01,3.295516996981228131e-01,1.571371904132931263e+00,-1.087278593936054749e+00,-1.077247851671214507e+00,-1.553617646394619189e+00,2.195645261620889244e+00,3.141592064663834005e+00,1.433743461461163826e-01,-2.114375892428586035e+00,-1.765319844582604603e+01,-9.575600679027038709e+00,-3.768987361058672381e+00,-2.171266899178196097e-01,4.604528278428110522e-03
1.120000000000000023e-01,-8.572280193791045888e-02,2.001256527803947805e+00,-1.442194620347239997e+00,-5.612843596294569970e-01,3.358348838274516912e-01,1.571648305655215072e+00,-1.098063701341165155e+00,-1.082017580259116096e+00,-1.553865704685233329e+00,2.192285121215169053e+00,3.141592064663401906e+00,1.499777355030231518e-01,-1.933261208958683586e+00,-1.708241702957222330e+01,-9.326033774722162661e+00,-3.655679149367486502e+00,-1.923359337230849953e-01,4.465836111946076478e-03
